# neuroc1 3/9/2022 2:40 PM
time Delta Theta Alpha1 Alpha2 Beta1 Beta2 Gamma1 Gamma2 Attention Meditation Derived totPwr  class 
# LogStarts: HEAD_SET 3/9/2022 -- 2:40 PM: obs 0
# StartBaseline:  3/9/2022 -- 2:40 PM: obs 0
163 171.0 326506 27071 46234 13450 22294 5250 4873 2145 30 70 NA 447823  X
164 172.0 18904 121680 5757 79330 18390 5174 6508 3470 20 60 NA 259213  X
165 173.0 173481 43395 19848 9597 9164 5062 3752 4320 17 51 NA 268619  X
166 174.0 118212 32486 11513 98355 13841 15419 2946 1502 16 69 NA 294274  X
167 175.0 721274 67522 16743 22936 47081 27060 4043 5038 30 53 NA 911697  X
168 176.0 84319 10116 18574 2807 3452 2678 869 346 43 61 NA 123161  X
169 177.0 22935 11473 14468 11838 10319 11337 2990 3361 60 66 NA 88721  X
170 178.0 1199498 19711 45091 9752 5704 10470 2100 1939 61 64 NA 1294265  X
171 179.0 27191 7335 27937 20042 6964 4938 4061 2033 50 90 NA 100501  X
172 180.0 34196 28079 5868 5352 6576 6111 2459 2063 56 70 NA 90704  X
173 181.0 548647 56195 29830 29036 22374 7534 9477 1954 40 70 NA 705047  X
174 182.0 253184 37319 1609 9568 9354 3315 1694 707 30 50 NA 316750  X
175 183.0 150002 118077 103414 23018 16163 8910 3451 5073 23 38 NA 428108  X
176 184.0 165294 51097 36080 13314 6810 12677 4839 1699 21 50 NA 291810  X
177 185.0 65293 126647 12626 40164 20946 9246 2793 3380 20 40 NA 281095  X
178 186.0 273366 39023 6280 3314 5998 3409 3461 2069 21 40 NA 336920  X
179 187.0 53097 31724 2403 16109 5657 7621 5282 4723 37 34 NA 126616  X
180 188.0 61131 46838 44286 26812 14829 4786 10991 2636 23 37 NA 212309  X
181 189.0 13664 34961 4377 15698 27627 13216 5478 2511 38 34 NA 117532  X
182 190.0 98764 12578 1131 9622 3990 3458 1244 1003 47 44 NA 131790  X
183 191.0 6460 41989 30629 31676 4363 15200 6876 2024 47 53 NA 139217  X
184 192.0 7578 4353 5263 9945 10534 13752 4573 1725 78 47 NA 57723  X
185 193.0 21367 5652 11291 23270 11001 8289 2411 2948 78 66 NA 86229  X
186 194.0 39893 22114 43056 7854 13040 7175 2484 1139 74 75 NA 136755  X
187 195.0 45694 10842 860 850 2882 2219 773 1056 77 50 NA 65176  X
188 196.0 68606 36611 48472 44591 5755 16405 4269 4873 57 61 NA 229582  X
189 197.0 363429 42686 11003 27036 19323 7423 3308 2677 48 50 NA 476885  X
190 198.0 258955 16323 3513 5053 3994 1853 767 297 44 38 NA 290755  X
191 199.0 1392356 69795 8137 8693 13028 13779 5507 3786 43 44 NA 1515081  X
192 200.0 100322 21444 23242 14137 11530 9878 7666 3269 44 40 NA 191488  X
193 201.0 124213 34005 12819 3729 8245 5142 957 530 47 35 NA 189640  X
194 202.0 17914 20581 2731 57530 22742 8262 3498 3725 51 48 NA 136983  X
195 203.0 8917 35965 5219 54353 26418 7014 6876 5305 43 64 NA 150067  X
196 204.0 7021 52873 6602 13292 5618 8378 6115 3092 40 50 NA 102991  X
197 205.0 9191 35075 28035 9916 12858 6516 3266 2830 38 56 NA 107687  X
198 206.0 10930 14296 14712 8805 30804 10283 4144 4705 48 44 NA 98679  X
199 207.0 20163 3939 16495 25910 5658 7520 4921 1941 56 56 NA 86547  X
200 208.0 13690 22080 21094 15929 13641 10325 5601 2733 60 69 NA 105093  X
201 209.0 17111 8609 26270 44752 6028 13027 2547 1349 66 84 NA 119693  X
202 210.0 11522 12740 1763 14055 10091 8577 3231 1535 67 87 NA 63514  X
203 211.0 254554 13380 2761 9012 1723 3177 800 712 66 70 NA 286119  X
204 212.0 580143 177784 54650 138488 33663 11827 11405 3315 47 70 NA 1011275  X
205 213.0 57312 13630 3092 2129 3788 1308 581 216 38 47 NA 82056  X
206 214.0 2762355 586108 44987 30802 35420 15890 8174 10876 8 29 NA 3494612  X
207 215.0 518967 433056 655426 289924 108218 159628 25230 9230 8 40 NA 2199679  X
208 216.0 1085140 68945 5769 11275 7133 4231 3400 2620 13 24 NA 1188513  X
209 217.0 355882 249999 56070 11763 35142 14623 8815 2736 10 23 NA 735030  X
210 218.0 89940 43873 24979 13621 9353 15562 4305 3372 34 40 NA 205005  X
211 219.0 1156835 496776 105520 6144 19140 29419 9370 3613 23 16 NA 1826817  X
212 220.0 330545 7717 3180 3361 2302 2931 628 124 38 26 NA 350788  X
213 220.0 91463 107475 47746 82980 41913 29023 19402 2830 48 40 NA 422832  X
# LogEnds:  3/9/2022 -- 2:43 PM: obs 213
